Pays,Annee,Cout_Total_Mds_EUR,Perte_Productivite_Mds_EUR,Cout_Sante_Mds_EUR,Cout_Absenteisme_Mds_EUR,Nb_Arrêts_Travail_milliers,Duree_Moy_Arret_jours,Cout_par_habitant_EUR
France,2019,102.4,58.6,24.8,19.0,980,42.6,1524
France,2020,118.6,68.4,28.6,21.6,1240,54.2,1764
France,2021,124.2,71.2,29.8,23.2,1180,51.4,1848
France,2022,128.8,73.6,30.4,24.8,1120,48.6,1916
France,2023,132.4,75.8,31.2,25.4,1090,46.8,1970
France,2024,130.6,74.4,30.8,25.4,1060,45.2,1942
Germany,2019,94.8,54.2,22.6,18.0,840,38.4,1136
Germany,2020,108.4,62.8,26.4,19.2,1060,46.8,1298
Germany,2021,113.6,65.4,27.2,21.0,1010,44.2,1360
Germany,2022,117.2,67.8,27.8,21.6,964,42.0,1404
Germany,2023,120.4,69.6,28.4,22.4,940,40.6,1442
Germany,2024,118.8,68.4,28.0,22.4,918,39.8,1424
United Kingdom,2019,88.6,50.4,21.4,16.8,780,44.2,1312
United Kingdom,2020,104.2,60.6,25.6,18.0,980,56.4,1544
United Kingdom,2021,109.8,63.4,26.8,19.6,940,52.8,1628
United Kingdom,2022,113.4,65.8,27.4,20.2,900,50.2,1682
United Kingdom,2023,116.2,67.4,28.0,20.8,880,48.6,1722
United Kingdom,2024,114.6,66.2,27.6,20.8,862,47.4,1698
United States,2019,294.6,168.4,72.6,53.6,4820,38.2,896
United States,2020,368.4,214.6,90.2,63.6,6240,48.6,1118
United States,2021,394.2,228.8,96.4,69.0,5960,46.2,1196
United States,2022,412.8,240.4,100.6,71.8,5720,44.0,1250
United States,2023,428.6,250.2,104.8,73.6,5620,42.8,1298
United States,2024,420.4,244.8,102.4,73.2,5520,41.6,1272
Japan,2019,184.2,106.4,44.8,33.0,3640,32.4,1456
Japan,2020,212.6,124.2,52.6,35.8,4580,40.6,1680
Japan,2021,224.8,130.8,55.4,38.6,4380,38.2,1776
Japan,2022,232.4,135.6,57.2,39.6,4200,36.4,1836
Japan,2023,238.6,139.4,58.8,40.4,4120,35.2,1886
Japan,2024,234.2,136.8,57.6,39.8,4040,34.6,1852
Sweden,2019,42.6,24.4,10.2,8.0,420,48.6,4126
Sweden,2020,49.8,28.6,12.0,9.2,524,60.4,4820
Sweden,2021,52.4,30.2,12.6,9.6,500,57.2,5076
Sweden,2022,54.2,31.4,13.0,9.8,480,54.8,5248
Sweden,2023,55.8,32.4,13.4,10.0,468,52.6,5406
Sweden,2024,54.8,31.8,13.2,9.8,458,51.4,5310
