Country,Region,Year,Burnout_Rate_pct,Anxiety_Rate_pct,Depression_Rate_pct,Absenteeism_Days_per_employee,Presenteeism_Cost_USD,GDP_per_capita_USD,Work_Life_Balance_Index
France,Europe,2019,28.4,21.3,14.2,17.2,3200,42350,5.8
France,Europe,2020,32.1,28.6,18.4,22.1,3800,41200,5.2
France,Europe,2021,34.0,26.4,17.1,19.8,4100,44100,5.3
France,Europe,2022,35.2,24.8,16.9,18.6,4300,45200,5.5
France,Europe,2023,36.4,25.1,17.3,19.1,4500,46100,5.4
France,Europe,2024,34.0,23.9,16.8,18.4,4400,47000,5.6
Germany,Europe,2019,22.1,18.4,11.2,10.8,2800,47600,6.4
Germany,Europe,2020,25.3,22.1,13.6,14.2,3100,45800,6.0
Germany,Europe,2021,26.8,21.4,13.1,12.9,3300,48200,6.1
Germany,Europe,2022,27.4,20.8,12.8,11.6,3400,49100,6.2
Germany,Europe,2023,28.1,21.2,13.0,12.1,3500,50400,6.3
Germany,Europe,2024,27.6,20.5,12.7,11.8,3450,51200,6.4
United Kingdom,Europe,2019,26.3,23.1,15.6,14.6,3100,42100,5.9
United Kingdom,Europe,2020,30.2,29.4,19.8,19.3,3600,39800,5.4
United Kingdom,Europe,2021,31.8,27.2,18.2,17.1,3900,42600,5.5
United Kingdom,Europe,2022,32.6,25.6,17.4,15.8,4000,43500,5.7
United Kingdom,Europe,2023,33.1,26.0,17.8,16.2,4100,44200,5.6
United Kingdom,Europe,2024,32.4,25.1,17.1,15.6,4050,45100,5.8
Sweden,Europe,2019,18.2,15.6,9.8,9.2,2100,54200,7.6
Sweden,Europe,2020,20.1,18.2,11.4,12.1,2400,52800,7.2
Sweden,Europe,2021,21.3,17.4,10.9,10.8,2600,55400,7.3
Sweden,Europe,2022,22.0,16.8,10.6,10.1,2700,56800,7.4
Sweden,Europe,2023,22.4,17.1,10.8,10.4,2750,57900,7.5
Sweden,Europe,2024,21.8,16.5,10.4,10.0,2700,59200,7.6
Japan,Asia,2019,38.6,24.8,16.2,6.4,5200,40800,4.1
Japan,Asia,2020,41.2,29.6,20.1,8.2,5800,38900,3.8
Japan,Asia,2021,42.8,28.4,19.4,7.6,6100,41200,3.9
Japan,Asia,2022,43.4,27.2,18.9,7.1,6300,42400,4.0
Japan,Asia,2023,44.1,27.8,19.2,7.3,6400,43100,4.1
Japan,Asia,2024,42.6,26.9,18.6,7.0,6200,44200,4.3
United States,Americas,2019,31.2,26.4,17.8,8.6,4800,63500,5.2
United States,Americas,2020,36.8,34.2,24.6,11.4,5600,61200,4.8
United States,Americas,2021,38.4,31.6,22.1,10.2,6100,69900,4.9
United States,Americas,2022,39.2,29.8,21.4,9.6,6400,76300,5.0
United States,Americas,2023,40.1,30.4,21.8,9.8,6600,78100,5.1
United States,Americas,2024,38.9,29.1,21.0,9.4,6500,80200,5.2
Netherlands,Europe,2019,24.1,19.8,12.6,11.4,2900,54800,6.8
Netherlands,Europe,2020,27.3,23.6,15.2,14.8,3200,52900,6.4
Netherlands,Europe,2021,28.6,22.4,14.8,13.2,3500,56400,6.5
Netherlands,Europe,2022,29.4,21.6,14.2,12.4,3600,57800,6.6
Netherlands,Europe,2023,30.1,22.0,14.5,12.8,3700,59100,6.7
Netherlands,Europe,2024,29.6,21.4,14.1,12.4,3650,60400,6.8
Spain,Europe,2019,29.8,22.6,15.4,14.2,2600,30200,6.1
Spain,Europe,2020,33.4,27.8,19.2,18.6,3000,27800,5.6
Spain,Europe,2021,34.8,26.2,18.4,16.8,3200,30900,5.7
Spain,Europe,2022,35.6,24.8,17.8,15.4,3300,32400,5.8
Spain,Europe,2023,36.2,25.2,18.0,15.8,3400,33600,5.9
Spain,Europe,2024,35.4,24.4,17.5,15.2,3350,34800,6.0
Canada,Americas,2019,27.4,22.8,14.8,12.6,3800,46400,6.2
Canada,Americas,2020,31.6,28.4,19.6,16.2,4200,43800,5.8
Canada,Americas,2021,33.2,26.8,18.4,14.8,4600,51200,5.9
Canada,Americas,2022,34.0,25.4,17.8,13.8,4800,54400,6.0
Canada,Americas,2023,34.8,25.8,18.1,14.2,4900,55800,6.1
Canada,Americas,2024,34.1,25.0,17.6,13.8,4850,57200,6.2
Australia,Oceania,2019,25.6,21.4,13.8,12.8,3600,55200,6.6
Australia,Oceania,2020,29.2,26.8,18.4,16.4,4000,51800,6.2
Australia,Oceania,2021,30.8,25.2,17.6,14.8,4400,57400,6.3
Australia,Oceania,2022,31.6,23.8,17.0,13.6,4600,60200,6.4
Australia,Oceania,2023,32.2,24.2,17.3,13.9,4700,61800,6.5
Australia,Oceania,2024,31.6,23.6,16.9,13.5,4650,63400,6.6
