Secteur,Annee,Taux_Burnout_pct,Taux_Anxiete_pct,Taux_Depression_pct,Jours_Absence_moy,Cout_par_employe_EUR,Taux_Turnover_pct,Nb_Employes_milliers,Presenteisme_jours
Santé & Social,2019,42.1,31.4,21.6,24.8,5200,18.4,1820,8.2
Santé & Social,2020,52.3,42.1,29.8,34.2,6800,22.1,1850,9.6
Santé & Social,2021,54.8,40.6,28.4,31.6,7200,24.8,1880,9.1
Santé & Social,2022,56.2,38.4,27.2,28.4,7400,23.6,1910,8.8
Santé & Social,2023,54.1,37.8,26.8,27.2,7100,22.4,1940,8.6
Santé & Social,2024,51.6,36.2,25.4,25.8,6900,21.8,1960,8.4
Éducation,2019,38.4,28.6,18.2,18.4,4100,12.6,1240,6.8
Éducation,2020,44.2,34.8,23.4,24.6,5000,14.2,1260,7.8
Éducation,2021,46.1,33.2,22.1,22.8,5300,15.8,1280,7.4
Éducation,2022,47.4,31.6,21.4,21.2,5500,15.2,1290,7.2
Éducation,2023,45.8,30.8,20.8,20.4,5200,14.6,1300,7.0
Éducation,2024,44.2,29.6,20.2,19.8,5000,14.0,1310,6.8
Finance & Banque,2019,31.2,24.8,16.4,12.6,6800,16.8,420,9.4
Finance & Banque,2020,35.6,29.2,19.8,16.4,7600,18.4,415,10.2
Finance & Banque,2021,37.2,28.1,18.9,14.8,8100,19.2,418,9.8
Finance & Banque,2022,38.4,26.8,18.2,13.6,8400,18.8,422,9.6
Finance & Banque,2023,37.1,26.2,17.8,13.1,8200,18.2,426,9.4
Finance & Banque,2024,36.2,25.4,17.2,12.8,8000,17.8,430,9.2
Technologie & IT,2019,28.6,22.4,14.8,10.4,7200,24.2,680,11.2
Technologie & IT,2020,34.2,28.6,18.4,13.8,8400,26.8,720,12.4
Technologie & IT,2021,36.8,27.4,17.6,12.4,9200,28.4,780,11.8
Technologie & IT,2022,38.4,26.2,17.0,11.6,9800,27.6,840,11.4
Technologie & IT,2023,37.2,25.8,16.8,11.2,9600,26.4,890,11.2
Technologie & IT,2024,35.8,24.6,16.2,10.8,9400,25.2,940,10.8
Commerce & Distribution,2019,34.8,26.2,17.4,16.2,2800,28.6,3120,7.2
Commerce & Distribution,2020,38.6,30.8,21.2,20.4,3200,32.4,3080,8.1
Commerce & Distribution,2021,40.2,29.4,20.4,18.8,3400,30.8,3100,7.8
Commerce & Distribution,2022,41.4,28.2,19.8,17.4,3600,29.6,3120,7.6
Commerce & Distribution,2023,40.1,27.6,19.4,16.8,3500,28.8,3140,7.4
Commerce & Distribution,2024,38.8,26.8,18.8,16.2,3400,28.2,3160,7.2
BTP & Industrie,2019,26.4,20.8,13.6,14.8,3200,22.4,1860,5.8
BTP & Industrie,2020,29.8,24.6,16.8,18.6,3600,24.8,1820,6.4
BTP & Industrie,2021,31.2,23.4,16.1,17.2,3800,23.6,1840,6.2
BTP & Industrie,2022,32.4,22.6,15.6,15.8,4000,23.0,1860,6.0
BTP & Industrie,2023,31.6,22.0,15.2,15.2,3900,22.4,1880,5.8
BTP & Industrie,2024,30.8,21.4,14.8,14.8,3800,22.0,1900,5.6
Transports & Logistique,2019,30.2,23.6,15.8,17.6,3000,26.8,1420,6.4
Transports & Logistique,2020,34.6,28.4,19.6,22.4,3400,29.2,1400,7.2
Transports & Logistique,2021,36.1,27.2,18.8,20.6,3600,28.4,1410,6.8
Transports & Logistique,2022,37.2,26.0,18.2,19.2,3800,27.8,1420,6.6
Transports & Logistique,2023,36.4,25.4,17.8,18.6,3700,27.2,1440,6.4
Transports & Logistique,2024,35.6,24.8,17.4,18.0,3600,26.8,1460,6.2
Juridique & Conseil,2019,36.8,28.4,19.2,11.8,8400,20.4,280,12.4
Juridique & Conseil,2020,41.2,33.6,22.8,14.6,9200,22.6,275,13.2
Juridique & Conseil,2021,43.4,32.1,21.6,13.2,9800,23.8,282,12.8
Juridique & Conseil,2022,44.8,30.8,21.0,12.4,10200,23.2,288,12.6
Juridique & Conseil,2023,43.2,30.2,20.6,11.8,9900,22.6,294,12.4
Juridique & Conseil,2024,41.8,29.4,20.0,11.4,9600,22.0,300,12.2
